Grain_ID,phi1_deg,PHI_deg,phi2_deg,phi1_rad,PHI_rad,phi2_rad
0,289.9033335148794,39.2165029809054,10.022195189293008,5.059767682341872,0.6844570981349702,0.17492030433069933
1,231.43495285654345,40.69858875038129,50.655474956817315,4.039301931544539,0.7103243746092781,0.8841048221579946
2,92.6202474640075,36.1903261654536,66.98826700597766,1.6165282722588592,0.6316403489578194,1.1691658194593941
3,149.25113195696787,16.80598772808784,84.36988693961727,2.6049236649776173,0.2933198199048943,1.4725323166316835
4,286.5780259573486,41.99606627310064,21.17406956669997,5.001730116821507,0.7329696293513502,0.36955722998524354
5,317.9844599996117,25.701153261530415,84.2754187746382,5.549875797169431,0.448569745973385,1.4708835361144816
6,346.1839388602092,39.58862586598472,22.60063165527078,6.042049550633396,0.6909518677016246,0.39445543541493117
7,303.16834938675095,48.92013714531226,30.18188884588412,5.291285884635336,0.8538174637128786,0.5267733348316292
8,85.91500135212449,45.579414548962916,21.938095848066933,1.4994996504499523,0.795510855010809,0.3828920041668657
9,242.9803601378103,46.448973973616596,29.937833789976292,4.240807302086372,0.8106875300127633,0.5225137705498988
10,212.1480832533688,41.145732900846404,15.541770576570014,3.7026825545663296,0.7181285122659272,0.27125506815072425
11,21.769414182936703,33.24325644763957,10.875403151777652,0.3799479537225966,0.5802042790961444,0.18981159248028862
12,40.990739673691664,30.336033326022516,22.841432857244875,0.7154233701337855,0.5294636635338194,0.398658209232139
13,215.88208341768805,6.9145172892042925,19.844025302075625,3.767853151703709,0.12068109288268788,0.34634357837028196
14,76.46002428561674,32.204774909033546,22.346179715595305,1.3344791699388374,0.5620793570262926,0.39001441127950814
15,46.56704203817449,40.28372750429334,64.70196736348166,0.8127482064807559,0.703083679926117,1.1292623630106695
16,134.20307704993985,44.09918616930397,72.97044759585678,2.342285560829089,0.7696759961042998,1.2735745672016814
17,159.9066672498908,47.265945812641235,32.30343318689296,2.7908978394015804,0.8249463784998164,0.5638012688092869
18,75.3361550781646,15.344735804713194,80.30977227574739,1.3148639519070182,0.26781616264090685,1.4016699477386514
19,223.11677569969285,28.69126546424656,53.57695780004229,3.8941223523933157,0.5007570489148419,0.9350943168127956
20,305.763501354944,43.13996225694848,24.365767358866794,5.3365798310699155,0.7529343805698349,0.42526286518718825
21,255.2090386658434,43.10739300665127,52.176300593927174,4.454238005568484,0.7523659399172425,0.9106482368743021
22,63.376261952621064,29.03691818706001,81.85156712758287,1.106124438679648,0.5067898269964198,1.4285793442934787
23,317.97441497597464,42.06875236176755,6.6471793033359825,5.5497004784335235,0.7342382409189844,0.11601516481363579
24,266.1295312298352,33.29836976728488,58.00805055289902,4.6448365567496985,0.5811661879856592,1.012431474811405
25,39.454362539303304,39.233872692810266,15.80694996268932,0.6886085305863533,0.6847602567978329,0.27588332154692347
26,0.011849324905824318,28.11321318140204,25.37727297277846,0.00020680973374520136,0.49066813333053544,0.44291696855235346
