Grain ID,Euler1 (rad),Euler2 (rad),Euler3 (rad),Peak SAW Frequency (Hz),Size (um^2)
165.0,2.8664710875790007,0.13882931937469,1.5921565768165655,288417166.58975536,39401.95805280001
77.0,5.3090129151858685,0.3741969329219646,0.046286981135376,288836073.1497986,56288.51150400001
49.0,5.395439005797339,0.2314465077036324,0.1231567592164883,289045983.0866807,68109.09891984
61.0,2.126832519950985,0.2591106271182837,0.2390844233131933,289256198.3471074,123271.84019376
53.0,3.2999778980388608,0.1972937397416494,1.007754898424538,289466719.597724,27018.485521920004
101.0,3.170020847935004,0.1590656397179034,0.8063263250609592,289888682.7458256,38839.07293776001
48.0,6.05304054926641,0.4116528047992543,0.1269204636731096,290100125.9863404,92876.0439816
52.0,2.6147100643968817,0.5544681160816339,1.0814960232185131,290523939.1725877,52348.315698720005
123.0,1.6744158638127635,0.3164743714250838,0.6546107050701222,290948992.48520315,62480.24776944001
84.0,1.996943806957324,0.7272017503280628,1.314263985010549,291375291.37529135,50659.6603536
95.0,0.728027864062005,0.2243360446920237,1.5194960824161896,291802841.32595205,74300.83518528001
43.0,0.5219005429612201,0.2959652663660372,0.6418830936434652,292017087.17127216,16886.5534512
111.0,0.6390580516377524,0.3228853850499599,1.1144666529358187,292661716.5027761,63606.01799952001
44.0,6.166209970844397,0.6318965253175578,1.5398156776172447,293093052.85723853,41090.61339792
96.0,2.953034906985297,0.6586436696765763,0.1111454008012683,293309198.1764548,37150.417592640006
117.0,1.445910576807727,0.6017731649443366,0.4572136048427498,293959551.1657596,24766.94506176
171.0,1.4983296554395855,0.5201752485149861,1.5862246350641216,294612794.6127946,55725.62638896001
191.0,1.8446742025237497,0.7939519927705622,1.2164110638529364,295488315.5477509,39401.95805280001
81.0,3.968542315030009,0.450261736393149,0.8467151427025804,295928030.30303025,6191.73626544
294.0,0.7470711903502322,0.3839367591038031,1.4570882460230274,296369055.6835117,43342.15385808
340.0,1.698599277977235,0.7137417107556668,1.2539690430722004,297033064.02335525,24766.94506176
54.0,0.4608925736144432,0.6488237489089761,0.7784134077326844,297923050.7320394,54036.97104384001
138.0,1.748898198949527,0.8553477241542856,1.1822144023259566,298818386.7222184,24204.059946720005
109.0,0.705497766740839,0.5691645239806985,0.4270200223412234,299719120.3671987,26455.600406880003
107.0,4.116402693049944,0.7254404621540813,1.2876963113617128,300398242.2411425,33210.22178736
162.0,3.988830810215281,0.5736315241737596,1.4188672410530878,301308539.9449035,36587.532477600005
104.0,3.5426563777558,0.5750579462409682,0.2261482088849499,302224371.3733075,12383.47253088
526.0,0.4217105976678706,0.7237456785388202,0.1989421593212534,305005577.244841,79929.68633568002
